2099,1977 VB,Opik,binzeletal2019/2099_20051008.csv,2005-10-08T12:32:00,2005-10-08T13:13:01,16,1920,02 28 28.6,34 23 03,1.055,0.537,1.47,15.8,23.3,s1121333 s113276 sFS13
2102,1975 YA,Tantalus,binzeletal2019/2102_20110704.csv,2011-07-04T06:36:26,2011-07-04T07:16:38,13,1560,+13 55 23.5,+47 38 54,1.168,0.678,1.154,17.6,61.1,-
2212,1978 SB,Hephaistos,binzeletal2019/2212_20061222.csv,2006-12-22T12:39:31,2006-12-22T13:08:38,16,1920,07 16 52.9,45 35 13,1.145,0.876,1.809,15.7,14.2,s1021081 sFS13
2335,1974 UB,James,binzeletal2019/2335_20051008.csv,2005-10-08T13:20:31,2005-10-08T13:59:32,16,1920,03 00 20.8,34 56 59,1.075,0.724,1.618,15,23.7,s1121333 s113276 sFS13
2340,1976 UA,Hathor,binzeletal2019/2340_20141022.csv,2014-10-22T14:05:15,2014-10-22T14:21:07,18,2151.8,05 29 29.7,24 02 43,1.005,0.049,1.024,15.6,52.1,sHYA64 sL113-276 sL115-271 sL93-101
2449,1978 GC,Kenos,binzeletal2019/2449_20100907.csv,2010-09-07T05:27:54,2010-09-07T05:57:21,16,1920,+18 50 59.0,+08 39 26,1.033,0.914,1.627,16.5,33.9,sHya64 sL110 sL112 sL115 sL93
3102,1981 QA,Krok,binzeletal2019/3102_20001009.csv,2000-10-09T00:00:00,2000-10-09T00:00:00,-1,-1,-,-,-1,-1,-1,-1,-1,-
3103,1982 BB,Eger,binzeletal2019/3103_20010621.csv,2001-06-21T13:46:21,2001-06-21T14:19:09,15,1800,21 10 37.9,12 25 43,1.01,0.456,1.313,15.9,41.4,-
3122,1981 ET3,Florence,binzeletal2019/3122_20040126.csv,2004-01-26T12:36:29,2004-01-26T13:31:53,15,1800,08 43 35.1,45 18 37,1.21,0.877,1.812,15.9,14.1,-
3198,1981 YH1,Wallonia,binzeletal2019/3198_20050510.csv,2005-05-10T12:48:17,2005-05-10T13:27:44,16,1920,15 23 48.8,01 19 24,1.278,1.2,2.179,15.8,8.8,s1021081 s110361
3199,1982 RA,Nefertiti,binzeletal2019/3199_20010130.csv,2001-01-30T14:07:20,2001-01-30T14:44:29,15,1800,11 52 29.9,21 29 11,1.01,0.739,1.61,16.4,24.4,-
3200,1983 TB,Phaethon,binzeletal2019/3200_20041210.csv,2004-12-10T06:56:36,2004-12-10T07:44:17,15,1800,03 09 59.9,34 23 46,1.081,0.64,1.577,15.5,17.3,-
3255,1980 RA,Tholen,binzeletal2019/3255_20020916.csv,2002-09-16T08:33:46,2002-09-16T08:52:08,15,1800,23 16 53.4,11 24 30,1.075,0.764,1.755,14.6,8.4,-
3288,1982 DV,Seleucus,binzeletal2019/3288_20110430.csv,2011-04-30T13:33:08,2011-04-30T13:51:29,16,1920,+19 26 15.2,-15 53 40,1.376,0.298,1.139,14.9,56.9,sL1021081 sL10556 sL110361
3352,1981 CW,McAuliffe,binzeletal2019/3352_20120323.csv,2012-03-23T12:55:31,2012-03-23T13:06:57,16,1920,+13 39 04.9,+06 20 42,1.066,0.432,1.404,15.6,16.2,sL105-56 sL105-56 sL107-684
3361,1982 HR,Orpheus,binzeletal2019/3361_20051008.csv,2005-10-08T09:30:18,2005-10-08T10:25:07,16,1920,00 25 42.4,01 56 13,1.051,0.28,1.277,17.3,6.6,s1121333 s113276 sFS13
3402,1981 PB,Wisdom,binzeletal2019/3402_20030930.csv,2003-09-30T13:18:29,2003-09-30T14:14:38,21,2520,02 21 13.6,18 16 57,1.045,0.964,1.886,17.2,16.7,-
3552,1983 SA,Don Quixote,binzeletal2019/3552_20091025.csv,2009-10-25T06:47:28,2009-10-25T07:15:20,16,1920,+20 18 26.7,-20 22 10,1.676,0.912,1.353,15.1,47.3,-
3554,1986 EB,Amun,binzeletal2019/3554_20110405.csv,2011-04-05T08:34:33,2011-04-05T08:53:13,16,1920,+10 11 19.2,-04 33 04,1.133,0.297,1.24,15,31.8,sL1021081 sL98978
3635,1981 WO1,Kreutz,binzeletal2019/3635_20051112.csv,2005-11-12T12:59:12,2005-11-12T14:01:14,16,1920,04 55 16.1,18 21 49,1.045,0.768,1.717,16.1,14,s98978 sFS13 sHYA64
3671,1984 KD,Dionysus,binzeletal2019/3671_20100509.csv,2010-05-09T06:12:01,2010-05-09T07:46:30,16,1920,+12 29 09.7,+27 28 08,1.077,0.529,1.364,17.2,39.1,sL1021081
3674,1963 RH,Erbisbuhl,binzeletal2019/3674_20100712.csv,2010-07-12T13:23:55,2010-07-12T14:01:06,16,1920,+21 57 48.5,-02 13 39,1.086,1.064,1.944,14.6,20.4,s10556 s107684 s1121333 s115271
3691,1982 FT,Bede,binzeletal2019/3691_20080310.csv,2008-03-10T11:23:18,2008-03-10T11:41:28,16,1920,13 14 29.9,-22 45 20,1.409,0.42,1.349,14.7,26.9,sL1021081 sL98978
3753,1986 TO,Cruithne,binzeletal2019/3753_20051008.csv,2005-10-08T15:15:25,2005-10-08T15:44:24,16,1920,06 13 18.7,-26 48 18,1.457,0.52,1.18,16.6,57.2,s1121333 s113276 sFS13
